spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
4,4140,0.6,0.5,8,TRUE,TRUE,TRUE,FALSE,lz4,48,32,org.apache.spark.serializer.JavaSerializer,145917
4,15071,0.244224336,0.71996244,155,TRUE,FALSE,TRUE,FALSE,lz4,44,33,org.apache.spark.serializer.KryoSerializer,157884
4,16778,0.270144046,0.735147075,153,TRUE,FALSE,TRUE,FALSE,lz4,40,35,org.apache.spark.serializer.KryoSerializer,162312
4,14453,0.801925311,0.47330083,290,FALSE,FALSE,FALSE,TRUE,lzf,16,24,org.apache.spark.serializer.KryoSerializer,164172
2,8553,0.154290142,0.587069595,350,TRUE,TRUE,FALSE,TRUE,snappy,77,52,org.apache.spark.serializer.JavaSerializer,166984
2,8765,0.109438443,0.622823047,335,TRUE,TRUE,FALSE,TRUE,snappy,79,50,org.apache.spark.serializer.JavaSerializer,168331
2,5950,0.375691311,0.128211495,227,TRUE,TRUE,TRUE,FALSE,lz4,23,41,org.apache.spark.serializer.JavaSerializer,169887
2,8139,0.125092551,0.504183161,355,TRUE,TRUE,FALSE,TRUE,snappy,71,45,org.apache.spark.serializer.JavaSerializer,170542
3,10372,0.532153259,0.361930138,67,FALSE,TRUE,TRUE,FALSE,snappy,60,58,org.apache.spark.serializer.KryoSerializer,183834
3,10159,0.610826442,0.289582155,107,FALSE,TRUE,TRUE,FALSE,snappy,57,62,org.apache.spark.serializer.KryoSerializer,187259
3,12053,0.512714373,0.256005766,93,FALSE,TRUE,TRUE,FALSE,snappy,54,59,org.apache.spark.serializer.KryoSerializer,188700
3,13081,0.871188808,0.384115409,253,FALSE,FALSE,FALSE,TRUE,lzf,20,21,org.apache.spark.serializer.KryoSerializer,194873
3,13855,0.850308014,0.368722697,275,FALSE,FALSE,FALSE,TRUE,lzf,22,17,org.apache.spark.serializer.KryoSerializer,201125
1,6566,0.487162594,0.22261546,201,TRUE,TRUE,TRUE,FALSE,lz4,24,43,org.apache.spark.serializer.JavaSerializer,206403
1,5122,0.496634809,0.124295551,218,TRUE,TRUE,TRUE,FALSE,lz4,26,36,org.apache.spark.serializer.JavaSerializer,209519
1,19047,0.701716063,0.839675581,25,FALSE,FALSE,FALSE,TRUE,lzf,89,8,org.apache.spark.serializer.JavaSerializer,436902
1,18878,0.742726176,0.840921092,42,FALSE,FALSE,FALSE,TRUE,lzf,90,11,org.apache.spark.serializer.JavaSerializer,438929
