repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,hll-sparse-max-bytes,hz,repl-disable-tcp-nodelay,requestsPerSecond
9,119,501,-3,220,18,11177,254,no,100268.79
5,53,835,-2,134,12,6516,77,no,98251.17
8,82,823,-4,187,10,1717,123,yes,97714.33
7,75,278,-4,148,15,630,253,no,97285.7
5,100,496,-4,237,14,145,37,yes,96692.98
3,105,781,-4,280,8,11105,446,yes,96604.98
8,47,685,-2,117,19,8469,155,no,95857.87
9,49,799,-1,100,10,1959,469,yes,95692.71
3,120,856,-4,198,14,13887,14,yes,95383.86
4,60,526,-4,200,9,1943,139,no,95348.94
8,53,868,-4,134,14,5869,123,yes,95221.44
5,100,624,-4,201,14,1424,37,yes,95210.77
5,100,467,-4,218,9,1544,379,yes,95078.04
5,53,968,-4,134,11,2022,123,yes,95025.9
8,67,823,-2,234,18,7037,88,yes,94992.85
5,53,835,-2,134,13,3165,90,no,94689.07
8,53,883,-4,134,14,2022,123,yes,94589.09
8,53,883,-4,134,11,2022,123,yes,94576.89
8,53,856,-4,134,12,2022,123,yes,94521.85
8,54,403,-4,135,11,1921,128,no,94424.05
7,66,757,-3,112,8,9978,62,no,94166.27
3,60,526,-4,200,10,1943,139,no,93880.96
8,109,798,-5,258,11,11075,105,no,93824.29
5,48,958,-2,296,19,4954,194,no,93614.41
7,54,818,-1,112,20,11858,41,yes,93591.09
5,53,718,-4,134,10,2022,90,yes,93530
10,104,471,-2,267,14,2362,208,no,93427.58
3,120,595,-5,100,12,10087,24,no,93338.03
2,78,776,-4,153,6,10032,442,yes,93318.45
6,53,835,-2,180,13,3165,90,no,93144.17
7,53,968,-4,134,10,2022,123,yes,93139.12
3,90,1001,-5,187,20,6505,344,yes,93105.23
7,96,776,-2,195,12,1483,96,yes,93091.34
1,126,350,-5,234,18,6826,285,no,92791.09
8,53,883,-4,134,16,2022,123,yes,92635.84
9,72,997,-2,228,19,1971,277,yes,92624.03
7,93,353,-4,297,18,11559,14,no,92586.17
10,128,457,-4,111,12,3583,114,no,92583.53
4,54,501,-1,179,13,12465,301,no,92562.27
4,70,526,-4,200,9,1943,139,no,92427.3
9,72,997,-3,300,19,1971,277,yes,92372.09
4,110,394,-5,177,11,7086,442,no,92315.23
4,70,432,-5,245,9,10166,144,no,92169.84
6,127,617,-1,298,19,4025,84,no,92059.8
5,67,835,-2,149,13,3165,90,no,92058.88
1,83,521,-3,191,6,3954,140,yes,91884.47
6,68,347,-2,114,5,4436,246,no,91798.99
9,119,421,-3,255,20,11177,346,no,91744.39
5,100,496,-4,237,14,145,1,yes,91658.7
5,53,835,-2,134,12,6516,84,no,91652.77
